"Prebivalstvo po izbranih starostnih skupinah in spolu, statistiène regije, Slovenija, polletno"

"SPOL","STATISTIÈNA REGIJA","2021H1 0 let","2021H1 1-5 let*","2021H1 6-14 let*","2021H1 0-14 let","2021H1 15-18 let","2021H1 18 let ali veè","2021H1 19-26 let","2021H1 15-49 let","2021H1 15-59 let","2021H1 15-64 let","2021H1 65 let ali veè","2021H1 80 let ali veè"
"Moški","SLOVENIJA",9675,52366,163670,101629,38659,867249,88896,481976,635688,707686,188582,39422
"Moški","Pomurska",422,2472,7741,4847,1953,47803,3864,24129,32987,37445,11838,1897
"Moški","Podravska",1312,7681,23357,14364,5734,138484,14634,75938,100798,112508,30256,5868
"Moški","Koroška",298,1673,5207,3236,1293,29614,2736,15470,20918,23717,6853,1329
"Moški","Savinjska",1224,6283,20087,12580,4990,107557,10150,59417,78990,88330,22961,4356
"Moški","Zasavska",258,1380,4356,2718,967,23459,2186,12291,16554,18832,5352,1009
"Moški","Posavska",344,1943,5805,3518,1380,31696,2893,16821,22634,25471,7223,1453
"Moški","Jugovzhodna Slovenija",787,4124,12416,7505,2761,59960,5867,33448,44333,49565,12450,2625
"Moški","Osrednjeslovenska",2738,14380,45215,28097,10316,222739,27080,132487,170144,186230,44267,10390
"Moški","Gorenjska",1005,5569,17597,11023,4145,85425,9119,48386,63189,69887,18647,4321
"Moški","Primorsko-notranjska",254,1374,4262,2634,1002,22283,1906,11934,15914,17839,5206,1130
"Moški","Goriška",549,2779,9079,5751,2134,49249,4152,25655,34528,38770,12126,2720
"Moški","Obalno-kraška",484,2708,8548,5356,1984,48980,4309,26000,34699,39092,11403,2324
"Ženske","SLOVENIJA",9059,49191,154061,95811,36473,867518,77596,426930,575371,647845,247133,76205
"Ženske","Pomurska",390,2362,7295,4543,1997,48879,3298,22067,30669,35133,15273,4229
"Ženske","Podravska",1288,7110,22020,13622,5423,136248,12292,65300,88995,100425,39903,11674
"Ženske","Koroška",281,1639,5047,3127,1246,28874,2130,13405,18735,21390,8421,2453
"Ženske","Savinjska",1132,6148,19165,11885,4645,104872,7928,50583,69480,78930,29435,8629
"Ženske","Zasavska",219,1285,3997,2493,889,24003,1833,10944,15276,17617,7050,2100
"Ženske","Posavska",348,1782,5511,3381,1326,30931,2247,14333,19914,22754,9164,2855
"Ženske","Jugovzhodna Slovenija",696,3898,11551,6957,2556,57999,4830,28617,38880,43997,15944,5195
"Ženske","Osrednjeslovenska",2558,13609,42590,26423,9695,230302,26733,123121,160089,176887,60759,19305
"Ženske","Gorenjska",984,5065,16242,10193,3935,85786,7386,42602,57161,64186,24510,7789
"Ženske","Primorsko-notranjska",223,1219,3965,2523,917,21280,1572,10161,13787,15612,6370,2039
"Ženske","Goriška",469,2580,8522,5473,2008,48537,3215,22004,30269,34463,15565,5275
"Ženske","Obalno-kraška",471,2494,8156,5191,1836,49807,4132,23793,32116,36451,14739,4662
